name,outlet,beat,tier,url,notes
Jason Schreier,Bloomberg News,"High-profile indie success stories, studio culture, labor",S,https://www.bloomberg.com/authors/ARbTQlRLRjE/jason-schreier,"Pitch the story of the solo dev and the open-source NotebookLM pipeline, not the game itself."
Skill Up (Ralph),YouTube (Skill Up),"Indie reviews, weekly gaming news (This Week in Videogames)",S,https://www.skillup.gg/contact,Send a tightly edited 60s gameplay trailer showing fast fluid character switching.
Iron Pineapple,YouTube,"Soulslikes, unique platformers, 'I played 10 indie games' format",S,https://www.youtube.com/@IronPineapple/about,Frame the Storm Sentinel boss as a uniquely challenging pattern-recognition encounter.
Kinda Funny Games (Greg Miller / Blessing Adeoye Jr),YouTube / Podcast,"Daily gaming news, indie showcases",S,https://www.kindafunny.com/contact/,"Wholesome themes, accessibility options, vibrant visual style."
IGN (Rebekah Valentine),IGN,"Indie games, accessibility, deep dives",S,https://www.ign.com/person/rebekahvalentine,Lead with Cloud Atlas educational integration and accessibility toggles.
Wanderbots,YouTube / Twitch,"Let's Plays of indie games, roguelikes, platformers",S,https://wanderbots.com/contact/,Provide a clean bug-free Steam key; loves trying new mechanics on stream.
Christian Donlan,Eurogamer,"Mechanical deep dives, poetic reviews of small indie games",M,https://www.eurogamer.net/contact,Pitch precise physics tuning and coyote-time mechanics of Ebo/Laya movement.
Katharine Castle,Rock Paper Shotgun,"PC indie games, eco-themes, wholesome games",M,https://www.rockpapershotgun.com/contact,Lead with environmental restoration narrative and PC-first controls.
Get Indie Gaming,YouTube,"Weekly 'Top 10 Upcoming Indie Games' lists",M,https://www.youtube.com/@GetIndieGaming/about,Provide high-res B-roll footage; rarely plays on stream.
Splattercatgaming,YouTube,Daily indie game discovery,M,https://www.youtube.com/@Splattercatgaming/about,World 0 tutorial must hook him in the first 5 minutes of recording.
Best Indie Games (Clemmy),YouTube,Rapid-fire indie game trailers and roundups,M,https://www.youtube.com/@BestIndieGames/about,Lead with the pixel-art overhaul (T-046) visuals.
Steve Saylor (Blind Gamer),YouTube / Twitter,Accessibility in gaming,M,https://stevesaylor.net/contact,"High-contrast palette, rebindable controls, hitstop mechanics."
Can I Play That? (Editorial Team),CanIPlayThat.com,Dedicated accessibility reviews,M,https://caniplaythat.com/contact-us/,"Pitch specific assist-mode flags (infinite jumps, reduced game speed) for motor accessibility."
Nicole Carpenter,Polygon,"Cozy games, eco-fiction, indie culture",M,https://www.polygon.com/contact,Lead with the Wholesome vibe and the Cloud Atlas educational aspect.
Into The Aether (Brendan & Stephen),Podcast,"Long-form positive deep dives into games they love",M,https://intothecast.online/contact,Send a key early; they love discovering hidden gems and discussing at length.
Gameranx (Jake Baldino),YouTube (Before You Buy / Friday shows),Mainstream and high-tier indies,M,https://www.youtube.com/@gameranx/about,Lead with a high-quality trailer and tight platforming comparisons to Celeste.
Retromation,YouTube,"Roguelikes, action platformers, deep indie cuts",M,https://www.youtube.com/@Retromation/about,Fast-paced action and boss fights.
Olexa,YouTube,"Indie variety, platformers",M,https://www.youtube.com/@Olexa/about,"Engaging characters (Ebo/Laya/Zephyr), fluid movement."
Alpha Beta Gamer,YouTube / Website,"Demos, prologues, and early builds",M,https://www.alphabetagamer.com/contact/,Once the demo is live just send the itch.io link for no-commentary footage.
Mitch Vogel,Nintendo Life,"Switch indie reviews (Switch port pending)",M,https://www.nintendolife.com/contact,"Controller support, family-friendly themes."
Kahlief Adams (Spawn On Me),Podcast,Highlighting diverse creators and unique indie titles,M,https://spawnon.me/contact/,Solo-dev story and accessibility features.
Wholesome Games (Curator Team),Twitter / Wholesome Direct,"Wholesome, non-violent, cozy games",L,https://wholesomegames.com/,"Healing-the-environment mechanic, cute pixel art. Niche but incredible conversion."
The Indie Informer (Destiny),Website / Twitter,Spotlighting small indies,L,https://theindieinformer.com/contact/,Unique character-swapping puzzle mechanics.
PixelSift (Australian Podcast),Podcast,"Indie games, dev interviews",L,https://www.pixelsift.com.au/contact,Technical deep dives into AI-assisted workflows (T-A1 / NotebookLM).
Climate Replay (Community),Discord / Blog,Games tackling climate change,L,https://www.climatereplay.org/,Cloud Atlas entries compiled from real NOAA/gov sources.
Accessibility Unlocked,Advocacy Group / Blog,Disabled game devs and accessible games,L,https://accessibilityunlocked.com/,"HUD design, high contrast settings, rebindable keys."
IndieGameLover,YouTube / Twitter,Rapid showcases of beautiful indies,L,https://indiegamelover.com/contact,Needs a great GIF of the parallax background transitioning.
NookGaming,Website,"Anime, visual novels, niche indie platformers",L,https://www.nookgaming.com/contact-us/,"Solid, traditional review coverage."
Buried Treasure (John Walker),Website,"Ex-RPS founder; obscure indies the mainstream ignores",L,https://buried-treasure.org/contact/,"Hates PR speak. Plain text email with itch.io link and one-sentence pitch about character-swapping momentum."
Game Accessibility Nexus,Website,In-depth accessibility reviews,L,https://www.gameaccessibilitynexus.com/contact/,Detailed breakdown of how autopilot and time-slow features help motor-disabled players.
